Date,NVDA,GOOGL,META,AAPL,AMZN,MSFT,TSLA
2024-04-17,83.99214172363281,154.30413818359375,491.2626953125,166.48483276367188,181.27999877929688,405.61431884765625,155.4499969482422
2024-04-18,84.6278076171875,154.84005737304688,498.8477783203125,165.53347778320312,179.22000122070312,398.15875244140625,149.92999267578125
2024-04-19,76.16114807128906,152.93446350097656,478.23974609375,163.51190185546875,174.6300048828125,393.08660888671875,147.0500030517578
2024-04-22,79.47745513916016,155.10806274414062,478.8958740234375,164.34432983398438,177.22999572753906,394.8988342285156,142.0500030517578
2024-04-23,82.38096618652344,157.07321166992188,493.181396484375,165.39474487304688,179.5399932861328,401.4089050292969,144.67999267578125
2024-04-24,79.6363754272461,157.9366912841797,490.5966796875,167.49566650390625,176.58999633789062,402.8763732910156,162.1300048828125
2024-04-25,82.58985900878906,154.83013916015625,438.7832946777344,168.35780334472656,173.6699981689453,393.0078430175781,170.17999267578125
2024-04-26,87.69026184082031,170.66053771972656,440.68206787109375,167.7731170654297,179.6199951171875,400.17779541015625,168.2899932861328
2024-04-29,87.71224975585938,164.90402221679688,430.0747985839844,171.93524169921875,180.9600067138672,396.1692810058594,194.0500030517578
2024-04-30,86.35795593261719,161.55931091308594,427.63922119140625,168.79383850097656,175.0,383.44464111328125,183.27999877929688
2024-05-01,82.99864196777344,162.63119506835938,436.60614013671875,167.7731170654297,179.0,388.9698181152344,179.99000549316406
2024-05-02,85.77323913574219,165.37051391601562,439.08148193359375,171.469482421875,184.72000122070312,391.8260192871094,180.00999450683594
2024-05-03,88.74372100830078,165.98585510253906,449.301025390625,181.7261505126953,186.2100067138672,400.5126647949219,181.19000244140625
2024-05-06,92.09300994873047,166.8394012451172,462.9403381347656,180.07119750976562,188.6999969482422,407.28863525390625,184.75999450683594
2024-05-07,90.50782012939453,169.9657745361328,465.4852600097656,180.75494384765625,188.75999450683594,403.1521301269531,177.80999755859375
2024-05-08,90.36590576171875,168.1098175048828,469.8196105957031,181.0919189453125,188.0,404.333984375,174.72000122070312
2024-05-09,88.70174407958984,168.68545532226562,472.6230163574219,182.90541076660156,189.5,406.08709716796875,171.97000122070312
2024-05-10,89.83216857910156,167.38528442382812,473.3984375,181.64517211914062,187.47999572753906,408.4705505371094,168.47000122070312
2024-05-13,90.3529052734375,167.87159729003906,465.2566223144531,184.85037231445312,186.57000732421875,407.4659118652344,171.88999938964844
2024-05-14,91.30941772460938,169.06260681152344,469.07403564453125,185.99151611328125,187.07000732421875,410.2629699707031,177.5500030517578
2024-05-15,94.58174133300781,171.21633911132812,478.70703125,188.2639923095703,185.99000549316406,417.43603515625,173.99000549316406
2024-05-16,94.31088256835938,172.87379455566406,470.4458923339844,188.38304138183594,183.6300048828125,415.3738098144531,174.83999633789062
2024-05-17,92.43182373046875,174.73971557617188,469.1336669921875,188.41282653808594,184.6999969482422,414.6042785644531,177.4600067138672
2024-05-20,94.73168182373047,175.59326171875,466.08172607421875,189.57383728027344,183.5399932861328,419.6658630371094,174.9499969482422
2024-05-21,95.33735656738281,176.5163116455078,461.8965148925781,190.87379455566406,183.14999389648438,423.3164978027344,186.60000610351562
2024-05-22,94.90158081054688,175.0573272705078,465.0279846191406,189.43490600585938,183.1300048828125,424.7767639160156,180.11000061035156
2024-05-23,103.74607849121094,172.24853515625,463.0396728515625,185.44578552246094,181.0500030517578,421.3037109375,173.74000549316406
2024-05-24,106.41471099853516,173.67774963378906,475.4065246582031,188.52194213867188,180.75,424.42156982421875,179.24000549316406
2024-05-28,113.8429183959961,175.07716369628906,477.0965576171875,188.5319061279297,182.14999389648438,424.5794677734375,176.75
2024-05-29,114.76644134521484,174.58091735839844,471.56927490234375,188.82958984375,182.02000427246094,423.4447937011719,176.19000244140625
2024-05-30,110.44364166259766,170.81935119628906,464.30224609375,189.82192993164062,179.32000732421875,409.1382141113281,178.7899932861328
2024-05-31,109.57709503173828,171.20640563964844,464.08355712890625,190.77456665039062,176.44000244140625,409.59210205078125,178.0800018310547
2024-06-03,114.94136047363281,171.87139892578125,474.68084716796875,192.5408935546875,178.33999633789062,408.0035400390625,176.2899932861328
2024-06-04,116.37762451171875,172.48670959472656,474.18377685546875,192.85841369628906,179.33999633789062,410.5195617675781,174.77000427246094
2024-06-05,122.37757110595703,174.0946044921875,492.1474304199219,194.36676025390625,181.27999877929688,418.3536071777344,175.0
2024-06-06,120.9363021850586,175.40469360351562,490.8551025390625,192.9874267578125,185.0,418.8567810058594,177.94000244140625
2024-06-07,120.82636260986328,173.15171813964844,490.059814453125,195.37893676757812,184.3000030517578,418.1957702636719,177.47999572753906
2024-06-10,121.7279052734375,173.89694213867188,499.64312744140625,191.6378631591797,187.05999755859375,422.162109375,173.7899932861328
2024-06-11,120.8582763671875,175.4967041015625,504.4844055175781,205.56019592285156,187.22999572753906,426.9079284667969,170.66000366210938
2024-06-12,125.14644622802734,176.65924072265625,505.8464050292969,211.43478393554688,186.88999938964844,435.1761474609375,177.2899932861328
2024-06-13,129.55455017089844,174.04598999023438,501.1343078613281,212.59579467773438,183.8300018310547,435.689208984375,182.47000122070312
2024-06-14,131.82359313964844,175.6656036376953,501.6915283203125,210.85922241210938,183.66000366210938,436.6660461425781,178.00999450683594
2024-06-17,130.92396545410156,176.1127471923828,504.1494445800781,215.00714111328125,184.05999755859375,442.388671875,187.44000244140625
2024-06-18,135.52198791503906,173.9764404296875,497.0444030761719,212.64537048339844,182.80999755859375,440.3857116699219,184.86000061035156
2024-06-20,130.72406005859375,175.17874145507812,499.24359130859375,208.07077026367188,186.10000610351562,439.7542724609375,181.57000732421875
2024-06-21,126.5158462524414,178.48756408691406,492.35748291015625,205.8975830078125,189.0800018310547,443.7798156738281,183.00999450683594
2024-06-24,118.05946350097656,178.08016967773438,496.4672546386719,206.5426025390625,185.57000732421875,441.697998046875,182.5800018310547
2024-06-25,126.03604888916016,182.8595733642578,508.1000061035156,207.4654541015625,186.33999633789062,444.9342041015625,187.35000610351562
2024-06-26,126.3459243774414,182.71051025390625,510.607666015625,211.61338806152344,193.61000061035156,446.1280822753906,196.3699951171875
2024-06-27,123.93695831298828,184.23081970214844,517.0161743164062,212.45687866210938,197.85000610351562,446.8088684082031,197.4199981689453
2024-06-28,123.48715209960938,180.9915313720703,501.75128173828125,209.00357055664062,193.25,440.9875793457031,197.8800048828125
2024-07-01,124.24683380126953,181.82620239257812,502.2090148925781,215.08651733398438,197.1999969482422,450.63714599609375,209.86000061035156
2024-07-02,122.61752319335938,184.06187438964844,507.0054016113281,218.57952880859375,200.0,453.153076171875,231.25999450683594
2024-07-03,128.22511291503906,184.63819885253906,507.4631652832031,219.8496856689453,197.58999633789062,454.6231994628906,246.38999938964844
2024-07-05,125.77616882324219,189.38780212402344,537.2665405273438,224.6029052734375,200.0,461.3226013183594,251.52000427246094
2024-07-08,128.14512634277344,187.82777404785156,526.7284545898438,226.0715789794922,199.2899932861328,460.0202331542969,252.94000244140625
2024-07-09,131.3238067626953,187.77810668945312,527.405029296875,226.92495727539062,199.33999633789062,453.4096374511719,262.3299865722656
2024-07-10,134.852294921875,189.96408081054688,532.072021484375,231.1919403076172,199.7899932861328,460.0301513671875,263.260009765625
2024-07-11,127.34550476074219,184.38980102539062,510.1897277832031,225.823486328125,195.0500030517578,448.63421630859375,241.02999877929688
2024-07-12,129.1847381591797,183.89295959472656,496.42742919921875,228.7706756591797,194.49000549316406,447.4995422363281,248.22999572753906
2024-07-15,128.3850555419922,185.34368896484375,493.730712890625,232.60107421875,192.72000122070312,447.904052734375,252.63999938964844
2024-07-16,126.30593872070312,182.75025939941406,487.39190673828125,233.01783752441406,193.02000427246094,443.5232849121094,256.55999755859375
2024-07-17,117.93951416015625,179.86871337890625,459.7279968261719,227.1234130859375,187.92999267578125,437.6033630371094,248.5
